APP_ID,APP_NAME,CATEGORY,PRICE,CONTENT_RATING,DOWNLOADS,SIZE(M),CURRENT_VERSION,MIN_REQUIRED_ANDROID,LASTUPDATED,TOTAL_REVIEWS,AVERAGE_RATING,5RATING,4RATING,3RATING,2RATING,1RATING,DEVELOPER_SITE,DEVELOPER_CONTACT,DEVELOPER_NAME,Column1
air.au.com.metro.DumbWaysToDie,Dumb Ways to Die,Casual,0,Medium Maturity,"10,000,000 - 50,000,000",35,1.4.2,2.2,1/5/2014,123012,4.39,85208,18370,8604,3463,7367,http://dumbwaystodie.com,b8b32bc91a4b414a4645a54198f3e01b7ecf090c,87b6c4e91bcdea8ffda6e27a9e5bcde7c9c54156,
air.carKeyFREE,Car Key,Tools,0,Everyone,"100,000 - 500,000",11,1.1.4,2.2,9/30/2013,371,3.89,230,31,23,14,73,http://shpe.ro,86e62b454ecd7499526362208fcd152cf4ccce6c,438fb2a0eb8f9b33d6d020cb02bf805869496bfa,
air.carKeyHacker,Car Key Hacker,Tools,0,Everyone,"1,000 - 5,000",10,1.0.0,2.2,9/26/2013,29,4.1,19,3,2,1,4,http://shpe.ro,86e62b454ecd7499526362208fcd152cf4ccce6c,438fb2a0eb8f9b33d6d020cb02bf805869496bfa,
air.catchTheFly,Catch The Fly,Entertainment,0,Everyone,"1,000 - 5,000",0.22,1.0.8,2.2,12/11/2012,4,2.75,1,0,1,1,1,http://shpe.ro,86e62b454ecd7499526362208fcd152cf4ccce6c,438fb2a0eb8f9b33d6d020cb02bf805869496bfa,
air.charger,air charger,Entertainment,0,Everyone,100 - 500,9.3,1.0.0,2.2,11/8/2013,13,4.15,9,1,0,2,1,http://shpe.ro,86e62b454ecd7499526362208fcd152cf4ccce6c,438fb2a0eb8f9b33d6d020cb02bf805869496bfa,
air.com.Slot,The Mystic Oracle Slot Machine,Cards and Casino,0,Low Maturity,"10,000 - 50,000",19,1.0.029,2.2,7/25/2012,86,4.26,60,9,5,3,9,http://my.maars.net,97314952729571080a4ff130e377fcbac25e1d30,8616fa5b38916053365384f5124db13b9011180f,
air.com.adobe.DCOMobile,DCO Connect Mobile,Business,0,Everyone,"10,000 - 50,000",0.48,2.0.4,2.2,10/22/2012,111,4.63,89,10,7,3,2,http://www.adobe.com/adobeconnect,da39a3ee5e6b4b0d3255bfef95601890afd80709,02a0f3f4b0251449056b54831904fddf3f74548c,
air.com.adobe.ThRead,Adobe ThRead,News & Magazines,0,Everyone,"5,000 - 10,000",3.8,1,3,1/31/2012,8,3.25,2,2,2,0,2,,0dcc872e5bb36a23d8d303ef5610bc0b9e2b682e,02a0f3f4b0251449056b54831904fddf3f74548c,
air.com.adobe.adobepresenter,Presenter Mobile,Business,0,Everyone,"1,000 - 5,000",11,1.0.1,4,10/29/2013,42,1.71,3,3,4,1,31,http://www.adobe.com/products/presenter.html,f0f48af28be2ee67ad0f3b2f3069dfc41b8def78,02a0f3f4b0251449056b54831904fddf3f74548c,http://www.adobe.com/privacy/policy.html+
air.com.adobe.conference.maxcompanion2011,MAX Companion 2011,Books & Reference,0,Everyone,"10,000 - 50,000",13,1.207,2.2,9/26/2011,90,4.49,67,12,4,2,5,http://max.adobe.com/companion,5e754b67b88800c415491e82ac42b8eb38939382,02a0f3f4b0251449056b54831904fddf3f74548c,
